game_date,home_team,away_team,winner,predicted_winner,confidence_0,confidence_1
2019-12-01,Vancouver Canucks,Edmonton Oilers,0,1,0.4437218892746652,0.5562781107253347
2019-12-02,Buffalo Sabres,New Jersey Devils,1,1,0.41395933437826865,0.5860406656217311
2019-12-02,New York Rangers,Vegas Golden Knights,0,0,0.5077470240382034,0.49225297596179646
2019-12-02,Detroit Red Wings,New York Islanders,0,1,0.4969394355680431,0.503060564431957
2019-12-02,Chicago Blackhawks,St Louis Blues,0,0,0.5313176832530053,0.46868231674699473
2019-12-02,Anaheim Ducks,Los Angeles Kings,1,1,0.47930028121075313,0.5206997187892468
2019-12-03,Boston Bruins,Carolina Hurricanes,1,1,0.47577184919624466,0.5242281508037554
2019-12-03,Montreal Canadiens,New York Islanders,1,1,0.4240821468947121,0.5759178531052878
2019-12-03,Florida Panthers,Minnesota Wild,0,1,0.4198615484750565,0.5801384515249433
2019-12-03,New Jersey Devils,Vegas Golden Knights,0,0,0.5149511907592188,0.48504880924078114
2019-12-03,Philadelphia Flyers,Toronto Maple Leafs,1,1,0.42477482127582633,0.5752251787241734
2019-12-03,Columbus Blue Jackets,Arizona Coyotes,0,1,0.4592149865167458,0.5407850134832543
2019-12-03,Nashville Predators,Tampa Bay Lightning,0,1,0.41675961807217604,0.5832403819278238
2019-12-03,Winnipeg Jets,Dallas Stars,1,1,0.47037665874389395,0.529623341256106
2019-12-03,Vancouver Canucks,Ottawa Senators,1,1,0.39077583436705154,0.6092241656329486
2019-12-03,San Jose Sharks,Washington Capitals,0,0,0.5637591759724357,0.4362408240275639
2019-12-04,Toronto Maple Leafs,Colorado Avalanche,0,1,0.4960756210123928,0.5039243789876072
2019-12-04,Pittsburgh Penguins,St Louis Blues,1,1,0.44380251878535865,0.5561974812146415
2019-12-04,Edmonton Oilers,Ottawa Senators,0,1,0.400796961320103,0.5992030386798968
2019-12-04,Los Angeles Kings,Washington Capitals,0,1,0.4936952015331604,0.5063047984668397
2019-12-05,Boston Bruins,Chicago Blackhawks,0,1,0.2923092452957261,0.707690754704274
2019-12-05,Montreal Canadiens,Colorado Avalanche,0,1,0.4953296406494078,0.5046703593505922
2019-12-05,Tampa Bay Lightning,Minnesota Wild,0,1,0.4103315660351271,0.5896684339648726
2019-12-05,New York Islanders,Vegas Golden Knights,1,1,0.4638600570032722,0.5361399429967277
2019-12-05,Philadelphia Flyers,Arizona Coyotes,0,1,0.41540715084607177,0.5845928491539281
2019-12-05,Carolina Hurricanes,San Jose Sharks,1,1,0.3706685535976592,0.6293314464023414
2019-12-05,Columbus Blue Jackets,New York Rangers,0,1,0.4046884003720921,0.5953115996279078
2019-12-05,Dallas Stars,Winnipeg Jets,1,1,0.44504129943884696,0.5549587005611534
2019-12-05,Calgary Flames,Buffalo Sabres,1,1,0.46513992696345974,0.5348600730365403
2019-12-06,New Jersey Devils,Chicago Blackhawks,0,1,0.4491385568091107,0.550861443190889
2019-12-06,New York Rangers,Montreal Canadiens,0,0,0.5159889107603954,0.4840110892396045
2019-12-06,Pittsburgh Penguins,Arizona Coyotes,1,1,0.38484611492177295,0.6151538850782271
2019-12-06,Edmonton Oilers,Los Angeles Kings,1,1,0.44195500062109344,0.5580449993789065
2019-12-06,Anaheim Ducks,Washington Capitals,0,0,0.5739496534235546,0.4260503465764449
2019-12-07,Philadelphia Flyers,Ottawa Senators,1,1,0.34853525554391335,0.6514647444560869
2019-12-07,Vancouver Canucks,Buffalo Sabres,1,1,0.41778545109869086,0.582214548901309
2019-12-07,Boston Bruins,Colorado Avalanche,0,1,0.4013859944668514,0.5986140055331484
2019-12-07,Detroit Red Wings,Pittsburgh Penguins,0,0,0.5435780839383113,0.4564219160616884
2019-12-07,Tampa Bay Lightning,San Jose Sharks,1,1,0.3989665097593012,0.6010334902406991
2019-12-07,Florida Panthers,Columbus Blue Jackets,1,1,0.42106805590169377,0.5789319440983061
2019-12-07,Carolina Hurricanes,Minnesota Wild,1,1,0.3759020588756876,0.6240979411243124
2019-12-07,St Louis Blues,Toronto Maple Leafs,0,1,0.47612427973244437,0.5238757202675555
2019-12-07,Nashville Predators,New Jersey Devils,1,1,0.3725774436918247,0.6274225563081752
2019-12-07,Dallas Stars,New York Islanders,1,1,0.475116023637361,0.5248839763626391
2019-12-07,Calgary Flames,Los Angeles Kings,1,1,0.4713337762303224,0.5286662237696776
2019-12-08,Winnipeg Jets,Anaheim Ducks,1,1,0.41901352653004226,0.5809864734699576
2019-12-08,Florida Panthers,San Jose Sharks,1,1,0.39905396375248414,0.600946036247516
2019-12-08,Chicago Blackhawks,Arizona Coyotes,0,1,0.4934715941495621,0.506528405850438
2019-12-08,Vegas Golden Knights,New York Rangers,0,1,0.3438283953798381,0.656171604620162
2019-12-08,Edmonton Oilers,Buffalo Sabres,0,1,0.4530325927957943,0.5469674072042057
2019-12-09,Tampa Bay Lightning,New York Islanders,0,1,0.4564290667877888,0.5435709332122113
2019-12-09,Washington Capitals,Columbus Blue Jackets,0,1,0.41656235287373466,0.5834376471262654
2019-12-09,Ottawa Senators,Boston Bruins,1,0,0.5621950684255129,0.43780493157448697
2019-12-09,Colorado Avalanche,Calgary Flames,0,1,0.4075175725850217,0.5924824274149783
2019-12-10,Florida Panthers,Tampa Bay Lightning,0,1,0.4400652281326229,0.5599347718673768
2019-12-10,Pittsburgh Penguins,Montreal Canadiens,0,1,0.39369610928919363,0.6063038907108064
2019-12-10,Buffalo Sabres,St Louis Blues,1,1,0.4749663852944595,0.5250336147055404
2019-12-10,Nashville Predators,San Jose Sharks,1,1,0.3799695483881287,0.6200304516118718
2019-12-10,Minnesota Wild,Anaheim Ducks,0,1,0.4267990400371706,0.5732009599628292
2019-12-10,Winnipeg Jets,Detroit Red Wings,1,1,0.30145230566639203,0.6985476943336079
2019-12-10,Dallas Stars,New Jersey Devils,1,1,0.34479329095119426,0.6552067090488061
2019-12-10,Edmonton Oilers,Carolina Hurricanes,0,0,0.5185637054837225,0.4814362945162775
2019-12-10,Arizona Coyotes,Calgary Flames,0,1,0.44140789324369506,0.558592106756305
2019-12-10,Vancouver Canucks,Toronto Maple Leafs,0,1,0.45890192007096603,0.5410980799290338
2019-12-10,Vegas Golden Knights,Chicago Blackhawks,1,1,0.3963043804732166,0.6036956195267834
2019-12-10,Los Angeles Kings,New York Rangers,1,1,0.39907964740891416,0.6009203525910854
2019-12-11,Washington Capitals,Boston Bruins,1,1,0.4344328265081986,0.5655671734918014
2019-12-11,Montreal Canadiens,Ottawa Senators,1,1,0.4068977208309939,0.5931022791690059
2019-12-11,Colorado Avalanche,Philadelphia Flyers,1,1,0.45377802789958605,0.5462219721004139
